polygon_id,date,obs_filename,lat_uncorr,lon_uncorr,lat_corr,lon_corr
G02,7/14,localhost_raw_20230714203519.23O,38.48115641,-122.1456836,38.48113088,-122.14566943
OC01,7/18,localhost_raw_20230718134402.23O,38.47772914,-122.1450935,38.47772756,-122.14508110
OCG03,7/18,localhost_raw_20230718192553.23O,38.49025999,-122.1521896,38.49026350,-122.15218891
OCG05,7/19,localhost_raw_20230719153103.23O,38.51546135,-122.1548566,38.51544536,-122.15484352
OCG05 b,7/19,localhost_raw_20230719173055.23O,38.51577112,-122.1518707,38.51577359,-122.15183989
G01,7/19,localhost_raw_20230719201001.23O,38.476579,-122.1435054,38.47654622,-122.14348947
OC02,7/20,localhost_raw_20230720132422.23O,38.48288352,-122.150957,38.48287378,-122.15094603
OC04,7/20,localhost_raw_20230720151547.23O,38.50174385,-122.153992,38.50173377,-122.15396377
G04,7/20,localhost_raw_20230720161203.23O,38.49935162,-122.1507819,38.49934232,-122.15076408
scrub unburned 2,7/24,localhost_raw_20230724171936.23O,37.38894513,-121.74973849,37.38891378,-121.74971903
scrub unburned 1,7/24,localhost_raw_20230724190003.23O,37.39080455,-121.74676328,37.39077323,-121.74675148
BO burn 001-005,7/25,localhost_raw_20230725191548.23O,37.39395188,-121.72218939,37.39393524,-121.72219198
"scrub burned 1,2,3,5",7/26,localhost_raw_20230726144920.23O,37.38702783,-121.72557740,37.38702575,-121.72554558
scrub burned 4,7/26,localhost_raw_20230726175931.23O,37.38598173,-121.73207192,37.38595751,-121.73205781
"BO burn G01, G04, G05, unburn G04, G05",7/27,localhost_raw_20230727140548.23O,37.37741499,-121.72777878,37.37740864,-121.72774976
burn unburn grass 2 & 3,7/27,localhost_raw_20230727162330.23O,37.38041206,-121.72972075,37.38040669,-121.72970515
Mld Main,7/31,localhost_raw_20230731192932.23O,36.378164,-121.56210364,36.37826529,-121.56209379
Mld Main b,7/31,localhost_raw_20230731211201.23O,36.37686908,-121.55019299,36.37685659,-121.55016916
Upper T,8/1,localhost_raw_20230801144952.23O,36.39676944,-121.54751135,36.39676640,-121.54748447
Lower T,8/1,localhost_raw_20230801184042.23O,36.39422729,-121.54909058,36.39419603,-121.54909024
Lower T b,8/2,localhost_raw_20230802135303.23O,36.38826199,-121.55020154,36.38825903,-121.55018492
Upper Main ,8/2,localhost_raw_20230802174226.23O,36.38029476,-121.54470242,36.38027154,-121.54469519
Upper Main b,8/2,localhost_raw_20230802192510.23O,36.38280739,-121.55759503,36.38279060,-121.55757803